,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,time_signature,cluster
19261,5RMZibKpxICipJyyWb0mjj,0.454,0.3,-11.277,0.0347,0.79,0.000425,0.183,169.76,3,22
19262,2S7R4trL4HITPIfvKUxcA4,0.405,0.539,-7.57,0.0363,0.0124,0.00334,0.0384,126.167,4,24
19263,3n4r9HS59J2Utzr9wHbte4,0.546,0.857,-4.748,0.0445,0.00031,0.00111,0.373,110.293,3,3
19264,0ZPbtxMljoofkXVLkiiqdl,0.331,0.287,-11.067,0.0315,0.943,0.00453,0.0956,131.408,3,22
19265,1bvgrTHjGJgeIsQy2tSqFU,0.797,0.86,-2.818,0.19,0.281,1.48e-06,0.492,104.022,4,4
19266,2JZpS2sOdJy37oBpn1GuPW,0.426,0.303,-11.52,0.0787,0.316,0.00795,0.383,139.042,4,24
19267,2vWxcvNva9F5J7QzK2GrSb,0.42,0.825,-5.343,0.0468,0.000559,0.728,0.307,152.934,4,7
19268,2oLo4vGUIP3eJ9T001keTu,0.787,0.779,-4.955,0.102,0.11,8.03e-06,0.412,103.992,4,19
19269,17FEmlLQHctu8jCZY8PwLD,0.359,0.222,-21.514,0.0393,0.841,0.174,0.164,108.068,4,18
19270,6022iGIh2KnyBT5eW20G5w,0.126,0.0196,-23.228,0.0393,0.98,0.78,0.0335,69.288,3,29
19271,6U8eNJ0TjDSlUpulpPEYNN,0.275,0.307,-18.558,0.0374,0.913,0.828,0.548,58.234,1,25
19272,3fcmz53bhoN3hWho7elJiB,0.333,0.478,-10.572,0.0936,0.993,0.00863,0.0691,127.502,5,8
19273,6cUdXrn8jvclzo6wdLOSOT,0.659,0.515,-11.256,0.0248,0.0745,0.00326,0.397,105.086,4,12
19274,5ndTO8JaHogJyjOB4CPJ9H,0.478,0.452,-7.68,0.0317,0.244,0.147,0.731,153.654,3,3
19275,5gKa7CQdFH2QJv6ctM2zeq,0.104,0.898,-6.403,0.0656,3.1e-05,0.0858,0.164,84.543,4,10
19276,3DsuzYk3OwcYlakFlNpYKj,0.661,0.637,-7.735,0.0252,0.303,0.00047,0.375,105.077,4,19
19277,2djYtICtVt04EAEVNqpV42,0.633,0.878,-4.603,0.0872,0.816,0.882,0.804,111.739,4,20
19278,7FXAgKl7oqhDtzjwYJGPQ8,0.67,0.12,-17.467,0.248,0.617,4.16e-05,0.846,166.496,3,22
19279,5hv6iUGvsjGXISTJPlHd3P,0.505,0.475,-9.982,0.372,0.116,0.0,0.475,83.385,4,13
19280,7p5AwVLO70wNwX1q1SYVQI,0.511,0.431,-11.37,0.0704,0.931,0.959,0.886,184.802,4,17
19281,32A2V5kbMTsmoKG3eKxEJ3,0.474,0.379,-15.21,0.264,0.986,0.592,0.847,203.54,4,17
19282,7HH35IyUonnHPhilJJ8UuY,0.651,0.747,-5.439,0.0266,0.152,0.0,0.814,114.962,4,27
19283,2oYh3vrwIQ0by1U8cLVolz,0.602,0.741,-5.554,0.0251,0.491,0.0,0.638,101.982,4,14
19284,6pWPQvHGwUhL5NO6UFJRsd,0.532,0.81,-6.414,0.0323,0.22,0.0,0.682,142.066,4,5
19285,7HGoHsXDokoqzj1dV1dkua,0.221,0.436,-7.637,0.0304,0.666,1.65e-06,0.475,82.167,5,16
19286,0m0pfivXjP19u9wNkk4jjH,0.615,0.87,-4.746,0.0435,0.0633,0.0,0.707,108.0,4,28
19287,2gEcwp0sm6fydOh3slJEFQ,0.606,0.668,-5.88,0.0239,0.475,0.0,0.437,101.933,4,19
19288,4Ng3ykAPNdz25XPEealYf9,0.66,0.789,-5.507,0.0481,0.0912,0.0,0.691,155.003,4,5
19289,0YeNMIY2l3hbwO0AjdiMeV,0.706,0.402,-7.984,0.0278,0.693,0.0,0.701,133.047,4,23
19290,1J9FVrYMfLwTLVQAp9JchG,0.638,0.697,-5.555,0.0308,0.0346,9.91e-06,0.439,117.985,4,19
19291,5lxW0aMhkuXP7yUxrLssJt,0.595,0.709,-5.926,0.0289,0.2,0.0,0.637,108.016,4,28
19292,1Y5ytTTnP6UvIKMsOr80Q1,0.649,0.85,-5.481,0.0423,0.00642,0.0,0.546,129.975,4,5
19293,2lJHzB9PqDjnmOTsoIPBmB,0.574,0.342,-8.831,0.0327,0.836,0.0,0.508,129.867,4,1
19294,68UsIHnZ6VfWFJ4pXAITIp,0.609,0.588,-14.284,0.084,0.877,0.798,0.756,173.238,4,17
19295,1RlcJ9HYGNmg2xw1cTxfOj,0.842,0.68,-3.475,0.0511,0.785,0.734,0.962,109.778,4,20
19296,3rGd2sVSHdNu5549gOd2Ip,0.442,0.986,-3.365,0.131,3.81e-05,0.000313,0.199,164.985,4,21
19297,74lCVPIg04nxxalNsC2r6H,0.167,0.11,-27.323,0.0489,0.99,0.895,0.0378,87.755,3,29
19298,72TFWvU3wUYdUuxejTTIzt,0.725,0.534,-6.238,0.0946,0.0752,0.0,0.558,91.974,4,19
19299,3S4px9f4lceWdKf0gWciFu,0.628,0.698,-5.608,0.105,0.0472,0.00143,0.732,89.976,4,28
19300,1JsUAmsjNz6oGuRTFG93qH,0.803,0.631,-4.213,0.0444,0.102,7.39e-06,0.659,104.999,4,27
19301,698ItKASDavgwZ3WjaWjtz,0.468,0.627,-5.085,0.0476,0.0281,7.97e-06,0.159,179.642,4,21
19302,1pjvlYOMIg1NhGQbM6iwrY,0.747,0.877,-3.782,0.0664,0.0375,0.000833,0.752,107.991,4,27
19303,40YcuQysJ0KlGQTeGUosTC,0.756,0.674,-6.518,0.0959,0.0184,0.0,0.389,111.995,4,19
19304,5YEOzOojehCqxGQCcQiyR4,0.576,0.766,-4.943,0.449,0.028,1.68e-06,0.236,144.833,4,13
19305,6Bjtr3tPdto5nyuLYf61sN,0.608,0.798,-5.092,0.0432,0.0736,0.0,0.501,92.943,4,28
19306,1SN1vSPsr4V4tIUTR3s8YW,0.672,0.578,-6.621,0.0569,0.469,0.0,0.548,113.945,4,14
19307,0PDUDa38GO8lMxLCRc4lL1,0.584,0.7,-4.275,0.0456,0.117,0.0,0.438,124.944,4,0
19308,3BtuIIrQlkujKPuWF2B85z,0.794,0.653,-7.839,0.104,0.0489,4.88e-05,0.397,117.996,4,19
19309,4pAl7FkDMNBsjykPXo91B3,0.671,0.314,-8.091,0.244,0.11,0.0,0.296,110.898,4,4
19310,0PX0Ku0gmYIUcIDRO23x8B,0.604,0.691,-5.807,0.159,0.00493,0.0,0.186,105.014,4,19
19311,3jomjC6H7YQBRr2CHPtc4y,0.688,0.702,-4.792,0.0499,0.0215,0.0,0.74,94.006,4,28
19312,2FiSTH0GYpIioUgjfzMIja,0.648,0.736,-7.948,0.0385,0.0444,0.000137,0.378,103.027,4,19
19313,1A8j067qyiNwQnZT0bzUpZ,0.792,0.717,-4.759,0.0393,0.0927,3.59e-05,0.466,121.985,4,19
